text,label
Click here to reset your password,phishing
Your account is blocked login now,phishing
Win a free iPhone now click here,phishing
Verify your bank account immediately,phishing
Update your payment details now,phishing
Suspicious login detected click link,phishing
Claim your prize now,phishing
Urgent: account suspended login now,phishing
Confirm your credit card details now,phishing
You won lottery claim now,phishing

Meeting at 6pm today,safe
Hello how are you,safe
Let's have lunch tomorrow,safe
Project discussion at office,safe
See you at the meeting,safe
Family dinner tonight,safe
Call me when free,safe
Your order has been shipped,safe
Reminder for tomorrow meeting,safe
Happy birthday! Have a great day,safe
